Search_method Problem Max_evals Run Score
uniform_crossover_tweak knapPI_13_200_1000_4 10000 3 -22023N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 4 -23451N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 5 -22275N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 6 -24042N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 7 -22332N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 8 -23022N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 9 -23469N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 10 -24063N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 11 -22797N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 12 -22947N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 13 -23214N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 14 -23328N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 15 -24294N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 16 -24183N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 17 -22386N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 18 -23979N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 19 -23910N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 20 -22182N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 21 -24120N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 22 -22458N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 23 -23181N
uniform_crossover_tweak knapPI_13_200_1000_4 10000 24 -22080N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 0 -35745N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 1 -36257N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 2 -33974N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 3 -35969N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 4 -35031N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 5 -36879N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 6 -36329N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 7 -37167N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 8 -35431N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 9 -37067N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 10 -36209N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 11 -36890N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 12 -37000N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 13 -35772N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 14 -33966N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 15 -33911N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 16 -36618N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 17 -36412N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 18 -33727N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 19 -32464N
uniform_crossover_tweak knapPI_16_200_1000_4 10000 20 -34490N
